Province/State,Country/Region,Lat,Long,12/31/2020,1/1/2021,1/2/2021,1/3/2021,1/4/2021,1/5/2021,1/6/2021,1/7/2021,1/8/2021,1/9/2021,1/10/2021,1/11/2021,1/12/2021,1/13/2021,1/14/2021,1/15/2021,1/16/2021,1/17/2021,1/18/2021,1/19/2021
,Moldova,47.4116,28.3699,144818,145258,145694,145873,146309,146921,147871,148294,148669,149093,149391,149662,150138,150946,151687,152263,152640,152854,153112,153506
,Monaco,43.7333,7.4167,875,885,901,907,917,947,978,1018,1041,1053,1057,1070,1092,1128,1145,1169,1194,1205,1212,1240
,Mongolia,46.8625,103.8467,1220,1242,1263,1286,1308,1308,1308,1395,1408,1429,1442,1456,1469,1479,1491,1512,1517,1526,1536,1568
,Montenegro,42.708678,19.37439,48247,48589,48856,49195,49630,50054,50697,51160,51596,51999,52431,52819,53338,53840,54316,54730,55136,55493,55803,56228
,Morocco,31.7917,-7.0926,439193,440970,442141,443146,443802,445439,447081,448678,450221,451637,452532,452988,453789,455055,456334,457625,458865,459671,460144,461390
,Mozambique,-18.665695,35.529562,18642,18794,18968,19309,19463,19542,19667,19961,20482,21361,21939,22334,22996,23726,24269,25004,25862,26551,27446,28270
,Namibia,-22.9576,18.4904,23941,24545,24654,25116,25386,25887,26319,26682,27255,27723,28259,28602,28871,29183,29570,29889,30198,30363,30753,30995
,Nepal,28.1667,84.25,260593,261019,261438,261859,262262,262784,263193,263605,264159,264521,264780,265268,265698,266143,266546,266816,267056,267322,267644,267992
Aruba,Netherlands,12.5211,-69.9683,5489,5509,5532,5564,5606,5716,5811,5883,5977,6013,6042,6068,6154,6228,6296,6350,6405,6435,6451,6523
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196
Curacao,Netherlands,12.1696,-68.99,4260,4289,4294,4317,4323,4342,4378,4405,4422,4445,4458,4464,4469,4488,4498,4505,4514,4514,4523,4527
Sint Maarten,Netherlands,18.0425,-63.0548,1456,1458,1462,1462,1465,1504,1512,1531,1554,1554,1555,1575,1589,1607,1629,1641,1641,1656,1669,1677
,Netherlands,52.1326,5.2913,796981,805164,813765,821163,827726,834064,841163,850790,858914,866235,872847,878263,883135,889221,895687,901696,906956,912554,917308,921580
,New Zealand,-40.9006,174.886,2162,2162,2181,2181,2186,2186,2188,2188,2188,2219,2222,2222,2228,2228,2246,2246,2256,2262,2262,2267
,Nicaragua,12.865416,-85.207229,6046,6046,6046,6046,6046,6097,6097,6097,6097,6097,6097,6097,6152,6152,6152,6152,6152,6152,6152,6204
,Niger,17.607789,8.081666,3323,3403,3437,3465,3465,3500,3634,3706,3747,3819,3877,3924,3969,3998,4058,4105,4132,4156,4204,4225
,Nigeria,9.082,8.6753,87607,88587,89163,90080,91351,92705,94369,95934,97478,99063,100087,101331,102601,103999,105478,107345,108943,110387,112004,113305
,North Macedonia,41.6086,21.7453,83329,83743,83789,84024,84129,84709,85328,85494,85594,86150,86494,86597,87117,87590,87986,88389,88749,88938,88992,89392
,Norway,60.472,8.4689,49567,49803,50266,50716,51245,52180,52967,53792,54476,54919,55474,55903,56615,57282,57736,58202,58445,58651,59034,59456
,Oman,21.512583,55.923255,128867,128867,128867,129404,129584,129774,129888,130070,130070,130070,130608,130780,130944,131086,131264,131264,131264,131790,132011,132146
,Pakistan,30.3753,69.3451,482178,484362,486634,488529,490476,492594,495075,497510,499517,502416,504293,506701,508824,511921,514338,516770,519291,521211,523011,524783
,Panama,8.538,-80.7821,246790,249733,251764,253736,256230,259770,264956,269091,273037,276772,279196,281353,285093,288408,291285,293592,296269,298019,299361,301534
,Papua New Guinea,-6.314993,143.95555,780,780,780,799,799,799,799,799,811,811,811,819,823,833,834,834,834,834,834,834
,Paraguay,-23.4425,-58.4438,107932,108349,108718,109073,109837,110796,111694,112856,113994,115026,115733,116535,117590,118592,119640,120789,121648,122160,122588,123359
,Peru,-9.19,-75.0152,1015137,1015137,1015137,1018099,1019475,1019475,1022018,1022018,1026180,1026180,1026180,1035184,1037350,1040231,1040231,1056023,1056023,1060567,1060567,1060567
,Philippines,12.879721,121.774017,474064,475820,476916,477807,478761,479693,480737,482083,483852,485797,487690,489736,491258,492700,494605,496646,498691,500577,502736,504084
,Poland,51.9194,19.1451,1294878,1305774,1312780,1318562,1322947,1330543,1344763,1356882,1365645,1376389,1385522,1390385,1395779,1404905,1414362,1422320,1429612,1435582,1438914,1443804
,Portugal,39.3999,-8.2245,413678,420629,423870,427254,431623,436579,446606,456533,466709,476187,483689,489293,496552,507108,517806,528469,539416,549801,556503,566958
,Qatar,25.3548,51.1839,143834,144042,144240,144437,144644,144852,145061,145271,145466,145672,145865,146068,146279,146480,146689,146885,147089,147277,147504,147729
,Romania,45.9432,24.9668,632263,636201,637395,640429,643559,648288,654007,658958,663799,668202,671284,673271,676968,681392,684917,688270,691488,693644,695153,697898
,Russia,61.52401,105.318756,3127347,3153960,3179898,3203743,3226758,3250713,3274615,3297833,3321163,3344175,3366715,3389733,3412390,3434934,3459237,3483531,3507201,3530379,3552888,3574330
,Rwanda,-1.9403,29.8739,8383,8460,8567,8676,8848,8955,9058,9225,9368,9461,9630,9784,9950,10122,10316,10573,10850,11032,11259,11548
,Saint Kitts and Nevis,17.357822,-62.782998,32,32,33,33,33,33,33,33,34,34,34,34,34,34,34,34,34,34,35,35
,Saint Lucia,13.9094,-60.9789,353,353,353,353,360,380,382,383,395,438,438,462,490,502,543,576,611,611,621,656
,Saint Vincent and the Grenadines,12.9843,-61.2872,121,121,122,124,124,133,149,149,149,225,249,249,284,284,340,450,450,478,494,602
,Samoa,-13.759,-172.1046,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,San Marino,43.9424,12.4578,2428,2428,2428,2428,2493,2549,2549,2583,2628,2628,2628,2667,2706,2723,2737,2767,2778,2778,2787,2803
,Sao Tome and Principe,0.1864,6.6131,1014,1022,1024,1024,1024,1024,1025,1035,1054,1066,1066,1066,1090,1105,1119,1125,1130,1142,1142,1151
,Saudi Arabia,23.885942,45.079162,362741,362878,362979,363061,363155,363259,363377,363485,363582,363692,363809,363949,364096,364271,364440,364613,364753,364929,365099,365325
,Senegal,14.4974,-14.4524,19140,19364,19511,19697,19803,19964,20156,20376,20672,21000,21245,21533,21685,21883,22178,22396,22738,23028,23224,23392
,Serbia,44.0165,21.0059,337923,339997,341904,343870,346585,349238,352120,353907,356125,356125,359689,361782,363924,366191,368072,369823,371216,372533,374111,375799
,Seychelles,-4.6796,55.492,256,256,285,297,322,354,373,373,451,508,531,583,601,612,627,656,696,705,746,746
,Sierra Leone,8.460555,-11.779889,2611,2635,2646,2673,2673,2724,2739,2757,2782,2803,2834,2846,2864,2887,2933,2959,2970,3006,3014,3030
,Singapore,1.2833,103.8333,58599,58629,58662,58697,58721,58749,58780,58813,58836,58865,58907,58929,58946,58984,59029,59059,59083,59113,59127,59157
,Slovakia,48.669,19.699,179543,184508,186244,187463,188099,191088,196047,198184,201164,205236,208209,209069,211479,215055,217978,220707,222752,223325,224385,226294
,Slovenia,46.1512,14.9955,122152,123950,124343,125086,125858,128370,131724,134545,136629,138518,139281,139713,141587,143679,145472,147016,148556,149125,149424,151137
,Solomon Islands,-9.6457,160.1562,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
,Somalia,5.152149,46.199616,4714,4714,4714,4714,4714,4714,4726,4726,4726,4726,4726,4726,4726,4726,4744,4744,4744,4744,4744,4744
,South Africa,-30.5595,22.9375,1057161,1073887,1088889,1100748,1113349,1127759,1149591,1170590,1192570,1214176,1231597,1246643,1259748,1278303,1296806,1311686,1325659,1337926,1346936,1356716
,South Sudan,6.877,31.307,3558,3558,3558,3558,3589,3589,3589,3589,3589,3589,3649,3662,3670,3670,3670,3670,3670,3693,3703,3762
,Spain,40.463667,-3.74922,1928265,1928265,1928265,1928265,1958844,1982544,1982544,2024904,2050360,2050360,2050360,2111782,2137220,2176089,2211967,2252164,2252164,2252164,2336451,2370742
,Sri Lanka,7.873054,80.771797,43299,43856,44371,44774,45242,45726,46248,46780,47305,47840,48380,48949,49537,50229,50899,51594,52313,53062,53750,54419
,Sudan,12.8628,30.2176,23316,23316,23316,23316,23316,23316,23316,23316,23316,23316,23316,23316,23316,25730,25730,25730,25730,26279,26279,26279
,Suriname,3.9193,-56.0278,6210,6277,6343,6393,6493,6586,6666,6750,6854,6948,7008,7064,7178,7247,7300,7409,7469,7527,7624,7709
,Sweden,60.128161,18.643501,437379,437379,437379,437379,437379,469748,469748,482284,489471,489471,489471,489471,506866,512203,518783,523486,523486,523486,523486,533265
,Switzerland,46.8182,8.2275,452296,452296,452296,452296,461961,465981,470789,474764,477983,477983,477983,484506,487357,490358,492832,495228,495228,495228,499931,502191
,Syria,34.802075,38.996815,11434,11526,11616,11710,11799,11890,11988,12084,12179,12274,12364,12462,12558,12660,12760,12850,12942,13036,13132,13224
,Taiwan*,23.7,121,799,802,808,812,815,817,819,822,825,828,828,834,838,842,842,843,851,855,862,868
,Tajikistan,38.861,71.2761,13296,13296,13300,13300,13300,13305,13305,13305,13305,13305,13308,13308,13308,13308,13308,13308,13308,13308,13308,13308
,Tanzania,-6.369028,34.888822,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509
,Thailand,15.870032,100.992541,7163,7379,7694,8439,8966,9331,9636,9841,10053,10298,10547,10834,10991,10991,11450,11680,12054,12423,12594,12653
,Timor-Leste,-8.874217,125.727539,44,44,44,46,49,49,49,49,49,49,49,49,49,51,51,51,52,52,52,52
,Togo,8.6195,0.8248,3633,3662,3683,3702,3722,3770,3807,3845,3894,3932,3957,3978,4045,4109,4165,4220,4272,4302,4324,4383
,Trinidad and Tobago,10.6918,-61.2225,7150,7158,7162,7168,7178,7186,7196,7210,7219,7244,7265,7273,7286,7305,7320,7343,7370,7393,7399,7415
,Tunisia,33.886917,9.537499,139140,140557,141979,143544,144796,147061,149881,152254,154903,157514,159276,162350,164936,168568,170895,175065,177231,180090,181885,184483
,Turkey,38.9637,35.2433,2208652,2220855,2232035,2241912,2255607,2270101,2283931,2296102,2307581,2317118,2326256,2336476,2346285,2355839,2364801,2373115,2380665,2387101,2392963,2399781
,US,40,-100,20032035,20190585,20488616,20698122,20879194,21109622,21361405,21636431,21929157,22193777,22410067,22623371,22848794,23078960,23314521,23556097,23758855,23936773,24078772,24246830
,Uganda,1.373333,32.290275,35216,35511,35712,35922,36050,36407,36702,37074,37296,37554,37742,37808,37948,38085,38085,38085,38085,38085,38085,38534
,Ukraine,48.3794,31.1656,1086997,1096855,1102256,1107137,1111631,1117256,1124482,1133802,1139800,1144943,1150265,1154850,1160243,1166958,1175343,1183963,1192114,1198512,1201894,1206125
,United Arab Emirates,23.424076,53.847818,207822,209678,211641,213231,214732,216699,218766,221754,224704,227702,230578,232982,236225,239587,242969,246376,249808,253261,256732,260223
Anguilla,United Kingdom,18.2206,-63.0686,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Bermuda,United Kingdom,32.3078,-64.7505,604,604,622,622,624,632,632,636,641,646,652,656,656,661,664,667,670,670,683,684
British Virgin Islands,United Kingdom,18.4207,-64.64,86,86,86,86,86,97,97,97,114,114,114,114,114,114,114,114,114,114,114,114
Cayman Islands,United Kingdom,19.3133,-81.2546,338,338,338,338,347,350,356,359,359,359,359,362,362,362,368,374,374,374,380,381
Channel Islands,United Kingdom,49.3723,-2.3644,3058,3059,3059,3121,3142,3164,3194,3210,3223,3260,3277,3299,3310,3324,3337,3353,3356,3363,3370,3386
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,29,29,29,29,29,29,29,29,29,29,29,29,29,32,32,32,32,32,32,32
Gibraltar,United Kingdom,36.1408,-5.3536,2040,2212,2304,2406,2513,2626,2798,2928,3021,3109,3170,3240,3324,3431,3509,3575,3637,3670,3712,3793
Isle of Man,United Kingdom,54.2361,-4.5481,377,377,380,380,380,386,389,390,392,394,396,403,406,414,417,418,419,428,432,432
Montserrat,United Kingdom,16.742498,-62.187366,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,893,893,909,910,910,918,941,956,965,994,994,994,1011,1011,1030,1062,1079,1102,1105,1105
,United Kingdom,55.3781,-3.436,2488780,2542065,2599789,2654779,2713563,2774479,2836801,2889419,2957472,3017409,3072349,3118518,3164051,3211576,3260258,3316019,3357361,3395959,3433494,3466849
,Uruguay,-32.5228,-55.7658,19119,19753,20275,20823,21426,22104,23048,23807,24339,24974,26186,26901,27846,28475,29989,30946,31669,32378,32863,33446
,Uzbekistan,41.377491,64.585262,77060,77182,77182,77258,77258,77295,77350,77412,77485,77530,77572,77611,77663,77716,77777,77904,77968,77968,78036,78091
,Vanuatu,-15.3767,166.9592,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Venezuela,6.4238,-66.5897,113558,113884,114083,114230,114407,114662,114908,115322,115667,116172,116610,116983,117299,117811,118415,118856,119306,119803,120444,121117
,Vietnam,14.058324,108.277199,1465,1474,1482,1494,1497,1504,1505,1509,1512,1513,1514,1515,1520,1521,1531,1536,1537,1537,1539,1540
,West Bank and Gaza,31.9522,35.2332,138004,139223,140287,141219,142228,143169,144257,145252,146074,146701,147400,148171,148968,149769,150505,151142,151569,152031,152555,153093
,Yemen,15.552727,48.516388,2099,2101,2101,2101,2101,2101,2102,2104,2104,2104,2104,2105,2107,2109,2110,2111,2112,2112,2113,2115
,Zambia,-13.133897,27.849332,20725,20997,21230,21582,21993,22645,23495,24297,25326,26567,27728,28596,29757,31100,32800,34278,36074,37605,38207,39515
,Zimbabwe,-19.015438,29.154857,13867,14084,14491,15265,15829,17194,17804,18675,19660,20499,21477,22297,23239,24256,25368,26109,26881,27203,27892,28675
