Province/State,Country/Region,Lat,Long,12/31/2020,1/1/2021,1/2/2021,1/3/2021,1/4/2021,1/5/2021,1/6/2021,1/7/2021,1/8/2021,1/9/2021,1/10/2021,1/11/2021,1/12/2021,1/13/2021,1/14/2021,1/15/2021,1/16/2021,1/17/2021,1/18/2021,1/19/2021
,Chile,-35.6751,-71.543,608973,612564,615902,618191,620641,623101,625483,629176,633381,637742,641923,645892,649135,652525,656712,661180,665493,669832,673750,677151
Anhui,China,31.8257,117.2264,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993,993
Beijing,China,40.1824,116.4142,987,988,990,992,993,994,994,995,995,996,997,998,998,999,999,1001,1003,1006,1007,1014
Chongqing,China,30.0572,107.874,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,591,591,591,591,591
Fujian,China,26.0789,117.9874,513,513,516,517,518,518,518,519,520,526,527,528,529,529,529,529,531,532,532,533
Gansu,China,35.7518,104.2861,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182
Guangdong,China,23.3417,113.4244,2046,2046,2051,2053,2057,2060,2062,2065,2067,2068,2075,2076,2078,2081,2084,2084,2086,2087,2090,2093
Guangxi,China,23.8298,108.7881,264,264,264,264,264,264,264,264,264,264,264,264,264,265,266,266,266,266,266,266
Guizhou,China,26.8154,106.8748,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147
Hainan,China,19.1959,109.7453,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
Hebei,China,39.549,116.1306,373,373,374,378,392,412,465,498,512,558,640,680,770,851,941,1031,1103,1157,1192,1211
Heilongjiang,China,47.862,127.7615,964,964,968,969,969,970,970,971,971,971,971,972,988,1031,1074,1097,1109,1116,1143,1159
Henan,China,37.8957,114.9042,1299,1299,1299,1299,1300,1300,1300,1301,1301,1301,1301,1302,1302,1303,1303,1303,1303,1303,1303,1303
Hong Kong,China,22.3,114.2,8846,8888,8923,8964,9017,9049,9074,9107,9152,9211,9242,9283,9343,9385,9414,9452,9502,9557,9664,9720
Hubei,China,30.9756,112.2707,68149,68149,68149,68149,68149,68149,68149,68149,68149,68149,68149,68149,68149,68149,68149,68149,68149,68149,68149,68149
Hunan,China,27.6104,111.7088,1021,1021,1021,1021,1021,1021,1021,1022,1022,1022,1022,1022,1022,1022,1022,1023,1024,1026,1026,1026
Inner Mongolia,China,44.0935,113.9448,364,364,365,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366
Jiangsu,China,32.9711,119.455,684,684,684,684,685,685,685,686,687,687,687,687,687,687,688,688,688,688,688,688
Jiangxi,China,27.614,115.7221,935,935,935,935,935,935,935,935,935,935,935,935,935,935,935,935,935,935,935,935
Jilin,China,43.6661,126.1923,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,167,197,240,286
Liaoning,China,41.2956,122.6085,351,359,362,369,372,373,374,377,384,387,393,396,396,396,396,396,396,396,396,396
Macau,China,22.1667,113.55,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
Ningxia,China,37.2692,106.1655,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Qinghai,China,35.7452,95.9956,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Shaanxi,China,35.1917,108.8701,507,508,510,516,516,519,521,521,521,522,523,524,524,524,526,527,527,530,531,533
Shandong,China,36.3427,118.1498,862,863,863,863,863,863,863,863,864,864,864,864,864,864,864,864,865,865,865,865
Shanghai,China,31.202,121.4491,1516,1520,1526,1530,1536,1538,1543,1551,1558,1562,1564,1568,1573,1581,1583,1590,1594,1598,1602,1606
Shanxi,China,37.5777,112.2922,224,224,224,225,225,225,225,225,225,226,226,226,227,227,227,227,227,227,228,228
Sichuan,China,30.6171,102.7103,853,853,853,856,857,857,857,857,857,857,857,857,857,857,858,860,862,863,863,865
Tianjin,China,39.3054,117.323,309,312,313,314,315,316,316,316,316,320,322,324,324,324,324,327,328,329,329,330
Tibet,China,31.6927,88.0924,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Xinjiang,China,41.1129,85.2401,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980
Yunnan,China,24.974,101.487,230,230,230,230,230,230,230,230,230,230,231,231,231,231,231,231,231,231,231,231
Zhejiang,China,29.1832,120.0934,1306,1306,1306,1306,1306,1306,1306,1306,1306,1308,1308,1308,1308,1308,1309,1309,1309,1311,1314,1316
,Colombia,4.5709,-74.2973,1642775,1654880,1666408,1675820,1686131,1702966,1719771,1737347,1755568,1771363,1786900,1801903,1816082,1831980,1849101,1870179,1891034,1908413,1923132,1939071
,Comoros,-11.6455,43.3333,823,823,864,864,864,995,995,1050,1050,1150,1150,1160,1166,1169,1403,1469,1577,1592,1769,1864
,Congo (Brazzaville),-0.228,15.8277,7107,7107,7107,7107,7107,7107,7127,7127,7127,7127,7127,7127,7160,7160,7160,7709,7709,7709,7709,7709
,Congo (Kinshasa),-4.0383,21.7587,17658,17849,17998,18102,18153,18248,18487,18738,18969,19159,19436,19496,19707,20003,20479,20556,20693,20908,21060,21140
,Costa Rica,9.7489,-83.7534,169321,169321,169321,169321,172436,173591,175038,176407,177614,177614,177614,180061,181093,182156,183242,184187,184187,184187,186016,186877
,Cote d'Ivoire,7.54,-5.5471,22490,22563,22563,22648,22800,22855,22963,23173,23254,23482,23750,23894,24186,24369,24578,24856,24856,25241,25304,25383
,Croatia,45.1,15.2,210837,212007,212262,212958,213319,214390,216286,216848,217946,219347,219993,220223,220982,222117,223097,223812,224575,224954,225128,225648
,Cuba,21.521757,-77.781167,11863,12056,12225,12424,12740,12964,13165,13479,13823,14188,14576,15007,15494,16044,16549,17096,17501,18151,18443,18773
,Cyprus,35.1264,33.4299,22019,22818,23445,23974,24639,25208,25781,26208,26674,27011,27350,27638,27897,28124,28124,28609,28811,28968,29130,29294
,Czechia,49.8175,15.473,718661,732022,735469,740481,746714,759635,776967,794740,809601,822716,831165,835454,844799,855600,866522,874605,883906,889159,891852,899503
Faroe Islands,Denmark,61.8926,-6.9118,610,610,614,620,622,626,640,643,644,646,646,646,646,647,647,648,649,649,649,650
Greenland,Denmark,71.7069,-42.6043,27,27,27,27,27,28,28,27,29,29,29,29,29,29,30,30,30,30,30,30
,Denmark,56.2639,9.5018,163479,165930,167541,168711,170787,172779,174995,176837,178497,180240,181486,182725,183801,185159,185159,187320,188199,189088,189895,190619
,Diamond Princess,0,0,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712
,Djibouti,11.8251,42.5903,5831,5840,5841,5842,5846,5854,5855,5857,5865,5866,5871,5877,5879,5891,5900,5903,5903,5905,5905,5910
,Dominica,15.415,-61.371,88,88,88,88,88,88,105,105,106,106,106,109,109,109,109,109,110,110,110,110
,Dominican Republic,18.7357,-70.1627,170785,172218,172965,173331,175374,175849,176378,177493,178538,180644,182103,183282,184788,186383,187487,188969,191339,193118,194966,196591
,Ecuador,-1.8312,-78.1834,212512,213378,214513,214614,215080,216083,217377,218385,219148,220349,221070,221506,222567,224315,226002,226866,230808,231482,231644,232568
,Egypt,26.820553,30.802498,138062,139471,140878,142187,143464,144583,145590,146809,147810,148799,149792,150753,151723,152719,153741,154620,155507,156397,157275,158174
,El Salvador,13.7942,-88.8965,45960,45960,45960,46803,47087,47355,47355,47948,48255,48574,48905,48905,49539,49539,50157,50157,50784,50784,51437,51437
,Equatorial Guinea,1.6508,10.2679,5277,5277,5277,5277,5279,5279,5286,5286,5289,5289,5289,5296,5296,5316,5316,5316,5356,5356,5365,5365
,Eritrea,15.1794,39.7823,1320,1320,1320,1320,1363,1363,1445,1445,1556,1556,1556,1556,1596,1596,1805,1877,1877,1877,1877,1877
,Estonia,58.5953,25.0136,27990,28406,28789,29131,29521,29950,30667,31751,32537,33089,33516,33805,34138,34991,35621,36096,36691,37079,37344,37941
,Eswatini,-26.5225,31.4659,9358,9482,9711,9943,10138,10338,10539,10773,10975,11180,11435,11711,11919,12124,12327,12532,12736,12944,13187,13443
,Ethiopia,9.145,40.4897,124264,124652,125049,125622,125919,126241,126786,127227,127572,127792,128316,128616,128992,129455,129922,130326,130772,131195,131546,131727
,Fiji,-17.7134,178.065,49,49,49,49,49,53,53,53,53,53,53,53,53,53,53,53,55,55,55,55
,Finland,61.92411,25.748151,36107,36403,36604,36772,36919,37218,37549,37772,38068,38392,38590,38790,39011,39335,39593,39911,40101,40337,40505,40722
French Guiana,France,3.9339,-53.1258,13045,13166,13273,13273,13273,13374,13497,13632,13825,13970,14113,14113,14221,14370,14370,14526,14776,14975,14975,15055
French Polynesia,France,-17.6797,149.4068,16926,16926,16926,16926,16988,17088,17131,17195,17241,17241,17241,17340,17403,17483,17590,17635,17635,17635,17697,17697
Guadeloupe,France,16.265,-61.551,8620,8620,8620,8620,8620,8702,8702,8702,8702,8702,8702,8702,8834,8834,8834,8834,8834,8834,8834,8948
Martinique,France,14.6415,-61.0242,6072,6091,6091,6091,6091,6117,6117,6117,6117,6117,6117,6117,6227,6227,6227,6227,6227,6227,6227,6302
Mayotte,France,-12.8275,45.166244,5890,5890,5890,5890,5890,6045,6045,6045,6045,6232,6232,6255,6255,6255,6255,6611,6611,6611,6611,6789
New Caledonia,France,-20.904305,165.618042,38,38,38,40,40,40,40,40,40,40,40,40,40,40,40,41,44,44,44,44
Reunion,France,-21.1151,55.5364,8972,9037,9037,9037,9037,9118,9118,9173,9173,9247,9247,9359,9359,9359,9359,9406,9443,9443,9443,9552
Saint Barthelemy,France,17.9,-62.8333,190,190,190,190,190,190,206,206,206,206,206,206,206,206,251,251,251,251,251,251
Saint Pierre and Miquelon,France,46.8852,-56.3159,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
St Martin,France,18.0708,-63.0501,995,995,995,995,995,995,1025,1025,1025,1025,1025,1025,1025,1025,1076,1076,1076,1076,1076,1076
Wallis and Futuna,France,-14.2938,-178.1165,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,France,46.2276,2.2137,2616902,2636045,2639404,2651893,2655915,2676195,2701215,2701215,2742349,2762120,2777921,2781503,2800770,2824473,2845701,2866769,2866769,2903975,2907711,2931050
